Progressive Number;rRNA;Organisms;Benchmark ID;Filum;Filogenesi;Class;Class Labels;Order;Order Labels
1;23S;Acinetobacter calcoaceticus;CRW_23S_B_P_1;Proteobacteria;;Gammaproteobacteria;;Pseudomonadales;
2;23S;Aeromonas hydrophila;CRW_23S_B_P_2;Proteobacteria;;Gammaproteobacteria;;Aeromonadales;
3;23S;Bacillus anthracis;CRW_23S_B_F_3;Firmicutes;;Bacilli;;Bacillales;
4;23S;Bacillus subtilis;CRW_23S_B_F_4;Firmicutes;;Bacilli;;Bacillales;
5;23S;Bartonella bacilliformis;CRW_23S_B_P_5;Proteobacteria;;Alphaproteobacteria;;Rhizobiales;
6;23S;Bordetella bronchiseptica;CRW_23S_B_P_6;Proteobacteria;;Betaproteobacteria;;Burkholderiales;
7;23S;Bordetella pertussis;CRW_23S_B_P_7;Proteobacteria;;Betaproteobacteria;;Burkholderiales;
8;23S;Borrelia burgdorferi;CRW_23S_B_S_8;Spirochaetes;;Spirochaetales;;Borreliaceae;
9;23S;Burkholderia cepacia;CRW_23S_B_P_9;Proteobacteria;;Betaproteobacteria;;Burkholderiales;
10;23S;Burkholderia mallei;CRW_23S_B_P_10;Proteobacteria;;Betaproteobacteria;;Burkholderiales;
11;23S;Burkholderia pseudomallei;CRW_23S_B_P_11;Proteobacteria;;Betaproteobacteria;;Burkholderiales;
12;23S;Campylobacter jejuni;CRW_23S_B_P_12;Proteobacteria;;Epsilonproteobacteria;;Campylobacterales;
13;23S;Chlamydia trachomatis ;CRW_23S_B_C_13;Chlamydiae;;Chlamydiales;;Chlamydiaceae;
14;23S;Chlamydophila psittaci 6BC;CRW_23S_B_C_14;x;;x;;x;
15;23S;Citrobacter freundii;CRW_23S_B_P_15;Proteobacteria;;Gammaproteobacteria;;Enterobacteriales;
16;23S;Clostridium botulinum A;CRW_23S_B_F_16;Firmicutes;;Clostridia;;Clostridiales;
17;23S;Clostridium botulinum B;CRW_23S_B_F_17;Firmicutes;;Clostridia;;Clostridiales;
18;23S;Clostridium botulinum B;CRW_23S_B_F_18;Firmicutes;;Clostridia;;Clostridiales;
19;23S;Clostridium botulinum E;CRW_23S_B_F_19;Firmicutes;;Clostridia;;Clostridiales;
20;23S;Deinococcus radiodurans;CRW_23S_B_D_20;Deinococcus-Thermus;;Deinococci;;Deinococcales;
21;23S;Deinococcus radiodurans;CRW_23S_B_D_21;Deinococcus-Thermus;;Deinococci;;Deinococcales;
22;23S;Enterococcus faecalis;CRW_23S_B_F_22;Firmicutes;;Bacilli;;Lactobacillales;
23;23S;Erysipelothrix rhusiopathiae;CRW_23S_B_F_23;Firmicutes;;Erysipelotrichia;;Erysipelotrichales;
24;23S;Escherichia coli;CRW_23S_B_P_24;Proteobacteria;;Gammaproteobacteria;;Enterobacterales;
25;23S;;NoMolecola;;;;;;
26;23S;;NoMolecola;;;;;;
27;23S;Haemophilus influenzae;CRW_23S_B_P_27;Proteobacteria;;Gammaproteobacteria;;Pasteurellales;
28;23S;Helicobacter pylori;CRW_23S_B_P_28;Proteobacteria;;Epsilonproteobacteria;;Campylobacterales;
29;23S;Klebsiella pneumoniae;CRW_23S_B_P_29;Proteobacteria;;Gammaproteobacteria;;Enterobacterales;
30;23S;Lactococcus lactis;CRW_23S_B_F_30;Firmicutes;;Bacilli;;Lactobacillales;
31;23S;Leptospira interrogans;CRW_23S_B_S_31;Spirochaetes;;Leptospirales;;Leptospiraceae;
32;23S;Listeria monocytogenes;CRW_23S_B_F_32;Firmicutes;;Bacilli;;Bacillales;
33;23S;Listeria monocytogenes;CRW_23S_B_F_33;Firmicutes;;Bacilli;;Bacillales;
34;23S;Micrococcus luteus;CRW_23S_B_Ac_34;Actinobacteria;;Micrococcales;;Micrococcaceae;
35;23S;Mycobacterium leprae;CRW_23S_B_Ac_35;Actinobacteria;;Corynebacteriales;;Mycobacteriaceae;
36;23S;Mycoplasma genitalium;CRW_23S_B_T_36;Tenericutes;;Mollicutes;;Mycoplasmataceae;
37;23S;Mycoplasma pneumoniae;CRW_23S_B_T_37;Tenericutes;;Mollicutes;;Mycoplasmataceae;
38;23S;Neisseria gonorrhoeae;CRW_23S_B_P_38 ;Proteobacteria;;Betaproteobacteria;;Neisseriales;
39;23S;Neisseria meningitidis;CRW_23S_B_P_39;Proteobacteria;;Betaproteobacteria;;Neisseriales;
40;23S;Plesiomonas shigelloides;CRW_23S_B_P_40;Proteobacteria;;Gammaproteobacteria;;Enterobacterales;
41;23S;Pseudomonas aeruginosa;CRW_23S_B_P_41;Proteobacteria;;Gammaproteobacteria;;Pseudomonadales;
42;23S;Rickettsia prowazekii;CRW_23S_B_P_42;Proteobacteria;;Alphaproteobacteria;;Rickettsiales;
43;23S;Rickettsia rickettsii;CRW_23S_B_P_43;Proteobacteria;;Alphaproteobacteria;;Rickettsiales;
44;23S;Ruminobacter amylophilus;CRW_23S_B_P_44;Proteobacteria;;Gammaproteobacteria;;Aeromonadales;
45;23S;Staphylococcus aureus;CRW_23S_B_F_45;Firmicutes;;Bacilli;;Bacillales;
46;23S;Staphylococcus carnosus;CRW_23S_B_F_46;Firmicutes;;Bacilli;;Bacillales;
47;23S;Streptomyces ambofaciens;CRW_23S_B_Ac_47;Actinobacteria;;Streptomycetales;;Streptomycetaceae;
48;23S;Thermotoga maritima;;;;;;;
49;23S;Thermus thermophilus;CRW_23S_B_D_49;Deinococcus-Thermus;;Deinococci;;Thermales;
50;23S;Treponema pallidum;CRW_23S_B_S_50;Spirochaetes;;Spirochaetales;;Spirochaetaceae;
