Column1.1	Column1.2	Column1.3	Column2	Column3	Column4	Column5	Column6
AB681979	Trabulsiella guamensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Trabulsiella	c	type sp.		"
DQ453129	Trabulsiella odontotermitis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Trabulsiella	c			"
HG972968	Enterobacillus tribolii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Enterobacillus	c	type sp.		"
KP319034	Mangrovibacter phragmitis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Mangrovibacter	c			"
EF643377	Mangrovibacter plantisponsor	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Mangrovibacter	c	type sp.		"
KM089834	Mangrovibacter yixingensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Mangrovibacter	c			"
AF029227	Salmonella bongori	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Salmonella	c			"
MK942857	Klebsiella indica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
AF008580	Salmonella enterica subsp. arizonae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Salmonella	c			"
EU014680	Salmonella enterica subsp. indica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Salmonella	c			"
EU014684	Salmonella enterica subsp. houtenae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Salmonella	c			"
EU014688	Salmonella enterica subsp. diarizonae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Salmonella	c			"
EU014685	Salmonella enterica subsp. salamae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Salmonella	c			"
AE006468	Salmonella enterica subsp. enterica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Salmonella	c	type sp.		"
AF530475	Escherichia fergusonii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Escherichia	c			"
X96963	Shigella flexneri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Shigella	c			"
X80725	Escherichia coli	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Escherichia	c	type sp.		"
FR870445	Shigella sonnei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Shigella	c			"
KJ787692	Escherichia marmotae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Escherichia	c			"
LR745848	Escherichia ruysiae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Escherichia	c			"
X96966	Shigella dysenteriae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Shigella	c	type sp.		"
AJ508775	Escherichia albertii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Escherichia	c			"
HF558388	Shigella boydii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Shigella	c			"
MK734184	Intestinirhabdus alba	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Intestinirhabdus	c	type sp.		"
HQ992945	Citrobacter koseri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Citrobacter	c			"
FR870441	Citrobacter amalonaticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Citrobacter	c			"
AF025371	Citrobacter farmeri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Citrobacter	c			"
MN603664	Citrobacter telavivensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Citrobacter	c			"
AF025363	Citrobacter rodentium	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Citrobacter	c			"
AF025364	Citrobacter sedlakii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Citrobacter	c			"
AB682276	Escherichia hermannii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Escherichia	c			"
AY373829	Salmonella subterranea	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Salmonella	c			"
AJ508303	Kosakonia cowanii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Kosakonia	c			"
MK040622	Klebsiella africana	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
HG933296	Klebsiella quasipneumoniae subsp. quasipneumoniae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
AF130982	Klebsiella pneumoniae subsp. ozaenae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
MK040621	Klebsiella variicola subsp. tropica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
Y17657	Klebsiella pneumoniae subsp. rhinoscleromatis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
HG933295	Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
X87276	Klebsiella pneumoniae subsp. pneumoniae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c	type sp.		"
CP010523	Klebsiella variicola subsp. variicola	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
AF009171	Klebsiella granulomatis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Klebsiella	c			"
AJ251469	Enterobacter cloacae subsp. cloacae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Enterobacter	c	type sp.		"
AJ417484	Enterobacter cloacae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Enterobacter	c			"
HQ651841	Enterobacter cloacae subsp. dissolvens	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Enterobacter	c			"
HQ888848	Enterobacter siamensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Enterobacter	c			"
JF795013	Kosakonia oryziphila	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Kosakonia	c			"
EU672801	Kosakonia arachidis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	"Kosakonia	c	type sp.		"
