Colonna1	Colonna2
root	no rank
Viruses	superkingdom
Caudovirales	order
Myoviridae	family
Peduovirinae	subfamily
Hpunavirus	genus
Haemophilus virus HP2	species
Peduovirus	genus
Salmonella virus Fels2	species
Bacillus phage BLi_Pp3	species
Pseudomonas phage AK-2018a	species
Salmonella phage MDS-2017a	species
Serpulina phage VSH-1	species
Podoviridae	family
Bacteriophage APSE-2	species
Siphoviridae	family
Spbetavirus	genus
Bacillus virus SPbeta	species
Staphylococcus epidermidis RP62A phage SP-beta	no rank
Bacillus phage phBC6A52	species
Lactobacillus prophage Lj928	species
Listeria phage LWP01	species
Staphylococcus phage phiN315	species
Streptococcus phage 315.6	species
Bacillus phage lambda Ba02	species
Lactobacillus phage Sal3	species
Peptoclostridium phage p630P2	species
Phage Gifsy-1	species
Phage Swp3	species
Streptococcus phage 2096.2	species
Streptococcus phage 370.4	species
Streptococcus phage NZ131.3	species
Streptococcus phage PhiSpn_200	species
Streptococcus pyogenes MGAS10270 phage 	species
Streptococcus phage 10270.5	no rank
Streptococcus pyogenes MGAS10750 phage	species
Streptococcus phage 10750.4	no rank
Streptococcus pyogenes MGAS9429 phage	species
Streptococcus phage 9428.3	no rank
Streptococcus pyogenes phage 5005.3	species
Streptococcus pyogenes phage 6180.4	species
unidentified phage	species
cellular organisms	no rank
Archaea	superkingdom
Asgard group	no rank
Candidatus Heimdallarchaeota	phylum
Candidatus Heimdallarchaeota archaeon AB_125	species
Candidatus Lokiarchaeota	phylum
Lokiarchaeum	genus
Lokiarchaeum sp. GC14_75	species
Candidatus Odinarchaeota	phylum
Candidatus Odinarchaeota archaeon LCB_4	species
DPANN group	no rank
Candidatus Aenigmarchaeota	phylum
Candidatus Aenigmarchaeota archaeon SCGC AAA011-F07	species
Candidatus Altiarchaeota	phylum
Candidatus Altiarchaeales	order
Candidatus Altiarchaeum	genus
Candidatus Altiarchaeum sp. CG2_30_32_3053	species
Candidatus Altiarchaeales archaeon IMC4	species
Candidatus Altiarchaeales archaeon WOR_SM1_79	species
