Organism name 	Length	Unpaired Bases	Paired Bases	Pseudoknotted	Pseudoknot order	RNA type	benchmark id	Genus	Core	Coreplus	Shape	Molecola se validata	Database	bpRNA ID
Bacillus phage SPO1	908	746	162	Y	1	Group I Introns	CRW_GII_V_1	1	()()[()()(()()]())()	()(())[(())(())(((())()]()))()	[(])	No	CRW	bpRNA_CRW_54540
Enterobacteria phage T4	607	467	140	Y	1	Group I Introns	CRW_GII_V_2	1	()()(()()[()())()](()()())	()()((())(())[()())()](()()())	([)]	No	CRW	bpRNA_CRW_54541
Enterobacteria phage T4	1058	874	184	Y	1	Group I Introns	CRW_GII_V_3	1	()[()()(()()]())(()(()())())	()[(())(())((()()]()))(()((()()))())	[(])	No	CRW	bpRNA_CRW_54542
Enterobacteria phage T4	1036	882	154	Y	1	Group I Introns	CRW_GII_V_4	1	()()[()()(()()]())(()()())	()()[(())(())((()()]()))(()()())	[(])	No	CRW	bpRNA_CRW_54543
Dermocarpa sp.	268	110	158	Y	1	Group I Introns	CRW_GII_B_5	1	()()[()()(]())(()())	(())()[(())(())((](())))(()())	[(])	No	CRW	bpRNA_CRW_54544
Prochlorothrix hollandica	373	187	186	Y	1	Group I Introns	CRW_GII_B_6	1	()()[()()(]())(()())	()()[((()))(((())))((]((()))))(()())	[(])	No	CRW	bpRNA_CRW_54545
Phormidium sp.	270	108	162	Y	1	Group I Introns	CRW_GII_B_7	1	()()[()()(]())()	()()[[((((()))))(((())))((]](())))(())	[(])	No	CRW	bpRNA_CRW_54546
Scytonema hofmanni	251	101	150	Y	1	Group I Introns	CRW_GII_B_8	1	()()[()()(]())(()())	(())()[(())(())((](())))(()())	[(])	No	CRW	bpRNA_CRW_54547
Simkania negevensis	736	550	186	Y	1	Group I Introns	CRW_GII_B_9	1	()[()()(]())()	()[((((()))))((((()))))((]()))(())	[(])	No	CRW	bpRNA_CRW_54548
Synechococcus elongatus PCC 6301	265	109	156	Y	1	Group I Introns	CRW_GII_B_10	1	()()[()()(]())(()())	()()[((()))(())((](())))((())())	[(])	No	CRW	bpRNA_CRW_54549
Annona cherimola	494	380	114	Y	1	Group I Introns	CRW_GII_E_11	1	()()[()()(]())(()())	()(())[(())(())((]()))(()())	[(])	No	CRW	bpRNA_CRW_54550
Chlamydomonas moewusii	1844	1624	220	Y	1	Group I Introns	CRW_GII_E_12	1	()()[()()(]())(()()())	()()[(())(())((]((((()))))))(()(())())	[(])	No	CRW	bpRNA_CRW_54551
Lobochlamys segnis	924	796	128	Y	1	Group I Introns	CRW_GII_E_13	1	()[()()(]())()	()[(())((()))((]()))(())	[(])	No	CRW	bpRNA_CRW_54552
Gentiana prostrata	336	214	122	Y	1	Group I Introns	CRW_GII_E_14	1	()()[()()(]())(()())	()(())[[(())((()))((]]()))(((()(()))))	[(])	No	CRW	bpRNA_CRW_54553
Nicotiana tabacum	575	429	146	Y	1	Group I Introns	CRW_GII_E_15	1	()()[()()(]())(()())	()()[(())(((())))((]()))(()())	[(])	No	CRW	bpRNA_CRW_54554
Pinus thunbergii	550	424	126	Y	1	Group I Introns	CRW_GII_E_16	1	()()[()()(]())(()())	()(())[(())((()))((]()))(()())	[(])	No	CRW	bpRNA_CRW_54555
Spartina alterniflora	554	412	142	Y	1	Group I Introns	CRW_GII_E_17	1	()()[()()(]())(()())	()(())[((()))(((())))((](())))(()(()))	[(])	No	CRW	bpRNA_CRW_54556
Spartina anglica	554	414	140	Y	1	Group I Introns	CRW_GII_E_18	1	()()[()()(]())(()())	()(())[((()))(((())))((](())))((()(())))	[(])	No	CRW	bpRNA_CRW_54557
Sorghum bicolor	510	344	166	Y	1	Group I Introns	CRW_GII_E_19	1	()()[()()(](()()))(()())	()(())[((()))(((())))((](((())()))))((()(())))	[(])	No	CRW	bpRNA_CRW_54558
Spartina maritima	554	416	138	Y	1	Group I Introns	CRW_GII_E_20	1	()()[()()(]())(()())	()(())[((()))(((())))((](())))((()()))	[(])	No	CRW	bpRNA_CRW_54559
Spartina x townsendii	554	414	140	Y	1	Group I Introns	CRW_GII_E_21	1	()()[()()(]())(()())	()(())[((()))(((())))((](())))((()(())))	[(])	No	CRW	bpRNA_CRW_54560
