primaryAccession	start	stop	submitted_path	submitted_name	ncbi_taxonid
AB003380	1	2573	"Bacteria;Fibrobacteres;Fibrobacterales;Fibrobacteraceae;Fibrobacter;"	Fibrobacter succinogenes	833
FN822744	1929801	1932665	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;"	Leuconostoc gelidum subsp. gasicomitatum LMG 18811	762550
AY214600	10934	13894	"Bacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium;environmental samples;"	uncultured Acidobacterium sp.	114706
AB201308	21176	24924	"Archaea;Thaumarchaeota;Nitrososphaeria;Candidatus Nitrosocaldales;Candidatus Nitrosocaldaceae;Candidatus Nitrosocaldus;environmental samples;"	uncultured Candidatus Nitrosocaldus sp.	766501
HC049454	5040	8406	"other sequences;artificial sequences;"	synthetic construct	32630
AY714817	7721	10633	"Archaea;environmental samples;"	uncultured archaeon GZfos12E1	285370
AY714832	683	3597	"Archaea;environmental samples;"	uncultured archaeon GZfos1C11	290244
AY714848	22300	25198	"Archaea;environmental samples;"	uncultured archaeon GZfos27G5	285386
GQ387491	17626	20675	"Bacteria;Actinobacteria;environmental samples;"	uncultured actinobacterium	152507
GATJ02026903	222	4107	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Holometabola;Diptera;Nematocera;Bibionoidea;Bibionidae;Bibio;"	Bibio marci (St. Mark's fly)	189979
GAWI01003089	30	3998	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Holometabola;Diptera;Brachycera;Muscomorpha;Muscoidea;Anthomyiidae;Delia;"	Delia antiqua (onion fly)	265456
GAWA01038217	225	3393	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Rosaceae;Maloideae;Amygdaleae;Prunus;"	Prunus armeniaca (apricot)	36596
JA606866	249	3956	"Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Polyporales incertae sedis;Fibroporia;"	Fibroporia vaillantii	984094
JA606872	206	3887	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis;"	Botrytis cinerea	40559
JA606882	197	3756	"Eukaryota;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida/Lodderomyces clade;Candida;"	Candida tropicalis	5482
JA606884	276	3983	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiomycetidae;Onygenales;Onygenales incertae sedis;Coccidioides;"	Coccidioides immitis	5501
JA606889	267	3975	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiomycetidae;Onygenales;Ajellomycetaceae;Histoplasma;"	Histoplasma capsulatum	5037
GAYX01067214	414	4195	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Poales;Poaceae;BOP clade;Pooideae;Poodae;Poeae;Poeae Chloroplast Group 2 (Poeae type);Loliinae;Lolium;"	Lolium perenne	4522
GACB01000096	737	3739	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;Loteae;Lotus;"	Lotus corniculatus	47247
JA606908	230	3636	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Lecanoromycetes;OSLEUM clade;Umbilicariomycetidae;Umbilicariales;Umbilicariaceae;Umbilicaria;"	Umbilicaria esculenta	161684
JA606909	275	3981	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiomycetidae;Onygenales;Onygenaceae;Uncinocarpus;"	Uncinocarpus reesii	33188
KY562604	12146	14304	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Campanulaceae;Campanula;"	Campanula patula	440359
KY562610	84312	87284	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Campanulaceae;Campanula;"	Campanula rapunculoides	209536
GAOK01049520	75	2974	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Cercideae;Cercis;"	Cercis gigantea	183790
KY562653	1	2756	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Poales;Cyperaceae;Cyperoideae;Cariceae;Carex;"	Carex flacca	140814
KY562673	2992	5792	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Poales;Cyperaceae;Cyperoideae;Cariceae;Carex;"	Carex pallescens	140842
