Database	Organism name 	Length	Unpaired Bases	Paired Bases	Pseudoknotted	Pseudoknot order	RNA type	benchmark id	Genus	Core	Coreplus	Shape	Molecola se validata	Descrizione	Reference
CRW	Bombyx mori	73	29	44	No	0	tRNA	CRW_t_E_1	0	(()()())	(()()())	--	No	--	--
CRW	Drosophila melanogaster (fruit fly)	73	29	44	No	0	tRNA	CRW_t_E_2	0	(()()())	(()()())	--	No	--	--
CRW	Homo sapiens (human)	76	32	44	No	0	tRNA	CRW_t_E_3	0	(()()())	(()()())	--	No	--	--
CRW	Homo sapiens (human)	76	32	44	No	0	tRNA	CRW_t_E_4	0	(()()())	(()()())	--	No	--	--
CRW	Acinetobacter genomosp. 3	76	32	44	No	0	tRNA	CRW_t_B_5	0	(()()())	(()()())	--	No	--	--
CRW	Acinetobacter genomosp. 13	76	32	44	No	0	tRNA	CRW_t_B_6	0	(()()())	(()()())	--	No	--	--
CRW	Chlorella vulgaris	76	32	44	No	0	tRNA	CRW_t_E_7	0	(()()())	(()()())	--	No	--	--
CRW	Cyanidioschyzon merolae strain 10D	72	30	42	No	0	tRNA	CRW_t_E_8	0	(()()())	(()()())	--	No	--	--
CRW	Prevotella ruminicola	76	32	44	No	0	tRNA	CRW_t_B_9	0	(()()())	(()()())	--	No	--	--
CRW	Halorubrum sodomense	72	28	44	No	0	tRNA	CRW_t_A_10	0	(()()())	(()()())	--	No	--	--
CRW	Halorubrum saccharovorum	72	28	44	No	0	tRNA	CRW_t_A_11	0	(()()())	(()()())	--	No	--	--
CRW	Halorubrum lacusprofundi ATCC 49239	72	28	44	No	0	tRNA	CRW_t_A_12	0	(()()())	(()()())	--	No	--	--
CRW	Halorubrum distributum	72	28	44	No	0	tRNA	CRW_t_A_13	0	(()()())	(()()())	--	No	--	--
CRW	Halorubrum coriense	72	28	44	No	0	tRNA	CRW_t_A_14	0	(()()())	(()()())	--	No	--	--
CRW	Natronomonas pharaonis DSM 2160	72	28	44	No	0	tRNA	CRW_t_A_15	0	(()()())	(()()())	--	No	--	--
CRW	Natronobacterium gregoryi	72	28	44	No	0	tRNA	CRW_t_A_16	0	(()()())	(()()())	--	No	--	--
CRW	Halorubrum vacuolatum	72	28	44	No	0	tRNA	CRW_t_A_17	0	(()()())	(()()())	--	No	--	--
CRW	Xanthomonas campestris	76	32	44	No	0	tRNA	CRW_t_B_18	0	(()()())	(()()())	--	No	--	--
CRW	Xanthomonas campestris	76	32	44	No	0	tRNA	CRW_t_B_19	0	(()()())	(()()())	--	No	--	--
CRW	Xanthomonas campestris	76	32	44	No	0	tRNA	CRW_t_B_20	0	(()()())	(()()())	--	No	--	--
CRW	Xanthomonas campestris	76	32	44	No	0	tRNA	CRW_t_B_21	0	(()()())	(()()())	--	No	--	--
