accession_number	organism_name	path
AB681979	Trabulsiella guamensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Trabulsiella"
DQ453129	Trabulsiella odontotermitis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Trabulsiella"
HG972968	Enterobacillus tribolii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Enterobacillus"
KP319034	Mangrovibacter phragmitis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Mangrovibacter"
EF643377	Mangrovibacter plantisponsor	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Mangrovibacter"
KM089834	Mangrovibacter yixingensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Mangrovibacter"
AF029227	Salmonella bongori	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Salmonella"
MK942857	Klebsiella indica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AF008580	Salmonella enterica subsp. arizonae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Salmonella"
EU014680	Salmonella enterica subsp. indica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Salmonella"
EU014684	Salmonella enterica subsp. houtenae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Salmonella"
EU014688	Salmonella enterica subsp. diarizonae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Salmonella"
EU014685	Salmonella enterica subsp. salamae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Salmonella"
AE006468	Salmonella enterica subsp. enterica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Salmonella"
AF530475	Escherichia fergusonii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Escherichia"
X96963	Shigella flexneri	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Shigella"
X80725	Escherichia coli	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Escherichia"
FR870445	Shigella sonnei	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Shigella"
KJ787692	Escherichia marmotae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Escherichia"
LR745848	Escherichia ruysiae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Escherichia"
X96966	Shigella dysenteriae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Shigella"
AJ508775	Escherichia albertii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Escherichia"
HF558388	Shigella boydii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Shigella"
MK734184	Intestinirhabdus alba	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Intestinirhabdus"
HQ992945	Citrobacter koseri	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
FR870441	Citrobacter amalonaticus	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
AF025371	Citrobacter farmeri	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
MN603664	Citrobacter telavivensis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
AF025363	Citrobacter rodentium	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
AF025364	Citrobacter sedlakii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Citrobacter"
AB682276	Escherichia hermannii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Escherichia"
AY373829	Salmonella subterranea	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Salmonella"
AJ508303	Kosakonia cowanii	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Kosakonia"
MK040622	Klebsiella africana	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
HG933296	Klebsiella quasipneumoniae subsp. quasipneumoniae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
AF130982	Klebsiella pneumoniae subsp. ozaenae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
MK040621	Klebsiella variicola subsp. tropica	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
Y17657	Klebsiella pneumoniae subsp. rhinoscleromatis	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
HG933295	Klebsiella quasipneumoniae subsp. similipneumoniae	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;""Klebsiella"
