Num,FileName,NumberOfNucleotides,NumberOfWeakBonds,IsPseudoknotted,TimeToGenerateStructuralRNATree[ns]
1,"CRW-5S_A_C_20_nH.db",131,45,Yes,1116589
2,"CRW-5S_A_C_22_nH.db",130,46,Yes,431196
3,"CRW-5S_A_C_23_nH.db",126,43,Yes,417579
4,"CRW-5S_A_C_24_nH.db",126,43,Yes,447545
5,"CRW-5S_A_C_25_nH.db",126,43,Yes,250153
6,"CRW-5S_A_E_10_nH.db",126,43,Yes,196687
7,"CRW-5S_A_E_11_nH.db",120,40,Yes,154380
8,"CRW-5S_A_E_12_nH.db",120,40,Yes,136008
9,"CRW-5S_A_E_13_nH.db",128,43,Yes,187144
10,"CRW-5S_A_E_14_nH.db",130,43,Yes,141335
11,"CRW-5S_A_E_15_nH.db",127,41,Yes,128855
12,"CRW-5S_A_E_16_nH.db",128,44,Yes,138175
13,"CRW-5S_A_E_17_nH.db",120,40,Yes,128845
14,"CRW-5S_A_E_18_nH.db",124,42,Yes,107093
15,"CRW-5S_A_E_19_nH.db",125,38,Yes,98312
16,"CRW-5S_A_E_21_nH.db",124,42,Yes,96273
17,"CRW-5S_A_E_26_nH.db",127,42,Yes,131884
18,"CRW-5S_A_E_27_nH.db",123,41,Yes,99082
19,"CRW-5S_A_E_2_nH.db",122,38,Yes,166788
20,"CRW-5S_A_E_3_nH.db",121,38,Yes,111566
21,"CRW-5S_A_E_4_nH.db",123,39,Yes,101683
22,"CRW-5S_A_E_5_nH.db",123,39,Yes,96806
23,"CRW-5S_A_E_6_nH.db",120,39,Yes,94687
24,"CRW-5S_A_E_7_nH.db",123,39,Yes,106608
25,"CRW-5S_A_E_8_nH.db",122,38,Yes,85981
26,"CRW-5S_A_E_9_nH.db",123,41,Yes,130870
