primaryAccession	start	stop	path	organism_name	taxid
AAAL02000003	175283	178152	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xylella;"	Xylella fastidiosa Dixon	1711
AABF01000111	1	2529	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;"	Fusobacterium nucleatum subsp. vincentii ATCC 49256	27694
AABT01000134	2	3194	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;"	Aspergillus terreus ATCC 20542	29070
AABW01000001	381843	384590	"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;"	Rickettsia sibirica 246	1248
AABX03000403	1076	4535	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;"	Neurospora crassa OR74A	29186
AACA01000199	3500	7211	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;"	Saccharomyces uvarum MCYC 623	29269
AACB02000004	1765	4592	"Eukaryota;Excavata;Metamonada;Fornicata;Diplomonadida;Giardiinae;Giardia;"	Giardia lamblia ATCC 50803	11764
AACE03000034	10680	14344	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea;"	Lachancea kluyveri NRRL Y-12651	29265
AACF01000279	1180	3860	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Naumovozyma;"	Naumovozyma castellii NRRL Y-12630	29267
AACG02000230	1685	5269	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;"	Saccharomyces bayanus 623-6C	29269
AACH01000259	3511	7222	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;"	Saccharomyces mikatae IFO 1815	29269
AACI03001036	996	4707	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;"	Saccharomyces kudriavzevii IFO 1802	29269
AACM02000424	1	2996	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;"	Fusarium graminearum PH-1	29171
AACW02000153	26750	30374	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mucoromycotina;Incertae Sedis;Mucorales;"	Rhizopus delemar RA 99-880	29495
AADK01037790	469	2483	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;"	Bombyx mori (domestic silkworm)	28641
AADL01001511	32644	35540	"Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;"	Ferroplasma sp. Type II	26100
AADM01000467	1	2471	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea;"	Lachancea waltii NCYC 2644	29265
AAEC03000008	81841	84857	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Incertae Sedis;Coccidioides;"	Coccidioides immitis RS	29090
AAEG01000105	4	2176	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;"	Saccharomyces cerevisiae RM11-1a	29269
AAEU02006971	1	2298	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;"	Drosophila yakuba	28651
AAEW02000008	191387	194242	"Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;"	Desulfuromonas acetoxidans DSM 684	27175
AAEX03017431	1	3083	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Deuterostomia;Chordata;Vertebrata;Gnathostomata;Euteleostomi;"	Canis lupus familiaris (dog)	28563
AAFD02000029	653077	656877	"Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Mediophyceae;Thalassiosira;"	Thalassiosira pseudonana CCMP1335	30267
AAFL01000009	32365	35172	"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;"	Campylobacter coli RM2228	26845
AAFM01000051	277384	280914	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma-Candida clade;"	Meyerozyma guilliermondii ATCC 6260	29208
AAFT01000087	54314	57617	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora-Candida clade;"	Clavispora lusitaniae ATCC 42720	29234
AAFU01000612	10401	12559	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium;"	Chaetomium globosum CBS 148.51	29188
AAGE02025428	15014	18154	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;"	Aedes aegypti (yellow fever mosquito)	28641
AAGI01000476	2	1988	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;"	Parastagonospora nodorum SN15	29059
