Num,FileName,NumberOfNucleotides,NumberOfWeakBonds,IsPseudoknotted,TimeToGenerateStructuralRNATree[ns]
1,"CRW_16S_B_Ac_106_nH.db",1524,468,Yes,6878576
2,"CRW_16S_B_Ac_108_nH.db",1533,471,Yes,3056055
3,"CRW_16S_B_Ac_109_nH.db",1548,476,Yes,2268141
4,"CRW_16S_B_Ac_10_nH.db",1531,470,Yes,2023326
5,"CRW_16S_B_Ac_110_nH.db",1550,478,Yes,738186
6,"CRW_16S_B_Ac_111_nH.db",1532,471,Yes,719581
7,"CRW_16S_B_Ac_112_nH.db",1534,467,Yes,553744
8,"CRW_16S_B_Ac_113_nH.db",1537,469,Yes,464494
9,"CRW_16S_B_Ac_114_nH.db",1537,469,Yes,440306
10,"CRW_16S_B_Ac_126_nH.db",1517,464,Yes,511164
11,"CRW_16S_B_Ac_145_nH.db",1519,466,Yes,421484
12,"CRW_16S_B_Ac_163_nH.db",1530,468,Yes,423598
13,"CRW_16S_B_Ac_164_nH.db",1527,467,Yes,416614
14,"CRW_16S_B_Ac_165_nH.db",1525,467,Yes,445022
15,"CRW_16S_B_Ac_166_nH.db",1529,469,Yes,518468
16,"CRW_16S_B_Ac_167_nH.db",1525,467,Yes,478302
17,"CRW_16S_B_Ac_169_nH.db",1531,468,Yes,393666
18,"CRW_16S_B_Ac_170_nH.db",1522,464,Yes,337181
19,"CRW_16S_B_Ac_171_nH.db",1526,468,Yes,364652
20,"CRW_16S_B_Ac_173_nH.db",1521,464,Yes,403895
21,"CRW_16S_B_Ac_174_nH.db",1531,468,Yes,369230
22,"CRW_16S_B_Ac_178_nH.db",1525,467,Yes,358334
23,"CRW_16S_B_Ac_179_nH.db",1527,469,Yes,337918
24,"CRW_16S_B_Ac_180_nH.db",1527,468,Yes,368787
25,"CRW_16S_B_Ac_181_nH.db",1528,468,Yes,406726
26,"CRW_16S_B_Ac_182_nH.db",1525,467,Yes,364365
27,"CRW_16S_B_Ac_183_nH.db",1525,467,Yes,337898
28,"CRW_16S_B_Ac_184_nH.db",1520,465,Yes,425074
29,"CRW_16S_B_Ac_186_nH.db",1527,468,Yes,352554
30,"CRW_16S_B_Ac_187_nH.db",1529,469,Yes,560678
31,"CRW_16S_B_Ac_188_nH.db",1526,466,Yes,338763
32,"CRW_16S_B_Ac_189_nH.db",1535,474,Yes,327510
33,"CRW_16S_B_Ac_190_nH.db",1531,468,Yes,323796
34,"CRW_16S_B_Ac_191_nH.db",1528,467,Yes,331996
35,"CRW_16S_B_Ac_193_nH.db",1525,466,Yes,345816
36,"CRW_16S_B_Ac_194_nH.db",1524,467,Yes,315728
37,"CRW_16S_B_Ac_195_nH.db",1521,464,Yes,327544
38,"CRW_16S_B_Ac_196_nH.db",1530,467,Yes,528924
39,"CRW_16S_B_Ac_197_nH.db",1527,468,Yes,330992
40,"CRW_16S_B_Ac_199_nH.db",1530,474,Yes,369972
41,"CRW_16S_B_Ac_200_nH.db",1530,468,Yes,359586
42,"CRW_16S_B_Ac_201_nH.db",1524,467,Yes,361937
43,"CRW_16S_B_Ac_202_nH.db",1530,468,Yes,237386
44,"CRW_16S_B_Ac_203_nH.db",1528,467,Yes,276300
45,"CRW_16S_B_Ac_204_nH.db",1526,468,Yes,247218
46,"CRW_16S_B_Ac_205_nH.db",1528,468,Yes,241559
47,"CRW_16S_B_Ac_206_nH.db",1531,476,Yes,386876
48,"CRW_16S_B_Ac_207_nH.db",1531,476,Yes,286378
49,"CRW_16S_B_Ac_3_nH.db",1550,480,Yes,219474
50,"CRW_16S_B_Ac_55_nH.db",1520,464,Yes,239454
51,"CRW_16S_B_Ac_75_nH.db",1512,465,Yes,215004
52,"CRW_16S_B_Aci_1_nH.db",1498,455,Yes,226290
53,"CRW_16S_B_Aci_92_nH.db",1540,477,Yes,225371
54,"CRW_16S_B_Aq_8_nH.db",1588,497,Yes,242440
55,"CRW_16S_B_Aq_9_nH.db",1582,497,Yes,235944
56,"CRW_16S_B_Ba_135_nH.db",1531,472,Yes,250801
57,"CRW_16S_B_Ba_17_nH.db",1537,471,Yes,245803
58,"CRW_16S_B_C_38_nH.db",1554,482,Yes,233550
59,"CRW_16S_B_C_39_nH.db",1554,482,Yes,266577
60,"CRW_16S_B_C_40_nH.db",1554,482,Yes,250635
61,"CRW_16S_B_Ch_136_nH.db",1507,461,Yes,221252
62,"CRW_16S_B_Chl_210_nH.db",1528,475,Yes,244724
63,"CRW_16S_B_Cy_107_nH.db",1489,453,Yes,206570
64,"CRW_16S_B_Cy_134_nH.db",1489,453,Yes,238448
65,"CRW_16S_B_Cy_208_nH.db",1488,453,Yes,208479
66,"CRW_16S_B_Cy_46_nH.db",1490,456,Yes,217011
67,"CRW_16S_B_Cy_7_nH.db",1489,456,Yes,266892
68,"CRW_16S_B_D_213_nH.db",1519,470,Yes,264683
69,"CRW_16S_B_D_214_nH.db",1518,468,Yes,226514
70,"CRW_16S_B_D_215_nH.db",1522,471,Yes,245220
71,"CRW_16S_B_D_58_nH.db",1504,462,Yes,212630
72,"CRW_16S_B_D_59_nH.db",1502,462,Yes,246464
73,"CRW_16S_B_De_57_nH.db",1559,486,Yes,457033
74,"CRW_16S_B_F_102_nH.db",1552,479,Yes,217662
75,"CRW_16S_B_F_13_nH.db",1551,484,Yes,232229
76,"CRW_16S_B_F_14_nH.db",1554,476,Yes,233354
77,"CRW_16S_B_F_156_nH.db",1555,475,Yes,211205
78,"CRW_16S_B_F_159_nH.db",1546,478,Yes,209533
79,"CRW_16S_B_F_15_nH.db",1552,478,Yes,204984
80,"CRW_16S_B_F_160_nH.db",1550,481,Yes,227251
81,"CRW_16S_B_F_161_nH.db",1549,480,Yes,206320
82,"CRW_16S_B_F_162_nH.db",1549,478,Yes,217018
83,"CRW_16S_B_F_16_nH.db",1553,476,Yes,204691
84,"CRW_16S_B_F_49_nH.db",1512,462,Yes,196622
85,"CRW_16S_B_F_52_nH.db",1514,465,Yes,206676
86,"CRW_16S_B_F_53_nH.db",1517,466,Yes,212816
87,"CRW_16S_B_F_63_nH.db",1561,482,Yes,212997
88,"CRW_16S_B_F_64_nH.db",1538,475,Yes,211417
89,"CRW_16S_B_F_65_nH.db",1511,466,Yes,231059
90,"CRW_16S_B_F_66_nH.db",1539,474,Yes,203937
91,"CRW_16S_B_F_73_nH.db",1520,458,Yes,260059
92,"CRW_16S_B_F_90_nH.db",1526,472,Yes,218698
93,"CRW_16S_B_F_95_nH.db",1568,478,Yes,279831
94,"CRW_16S_B_F_96_nH.db",1551,476,Yes,244908
95,"CRW_16S_B_Fu_158_nH.db",1521,462,Yes,230156
96,"CRW_16S_B_Fu_76_nH.db",1507,456,Yes,233566
97,"CRW_16S_B_Fu_77_nH.db",1522,471,Yes,214601
98,"CRW_16S_B_P_103_nH.db",1486,452,Yes,213427
99,"CRW_16S_B_P_104_nH.db",1480,454,Yes,324114
100,"CRW_16S_B_P_105_nH.db",1534,474,Yes,241915
101,"CRW_16S_B_P_11_nH.db",1482,453,Yes,218607
102,"CRW_16S_B_P_122_nH.db",1540,474,Yes,220386
103,"CRW_16S_B_P_123_nH.db",1544,468,Yes,202296
104,"CRW_16S_B_P_124_nH.db",1544,468,Yes,234138
105,"CRW_16S_B_P_125_nH.db",1544,468,Yes,202004
106,"CRW_16S_B_P_127_nH.db",1542,477,Yes,206240
107,"CRW_16S_B_P_128_nH.db",1542,469,Yes,215680
108,"CRW_16S_B_P_133_nH.db",1542,478,Yes,205260
109,"CRW_16S_B_P_137_nH.db",1543,477,Yes,197539
110,"CRW_16S_B_P_138_nH.db",1536,473,Yes,207360
111,"CRW_16S_B_P_139_nH.db",1536,472,Yes,238113
112,"CRW_16S_B_P_140_nH.db",1537,476,Yes,219556
113,"CRW_16S_B_P_141_nH.db",1537,473,Yes,197102
114,"CRW_16S_B_P_142_nH.db",1536,473,Yes,196264
115,"CRW_16S_B_P_143_nH.db",1486,455,Yes,207334
116,"CRW_16S_B_P_144_nH.db",1491,455,Yes,203314
117,"CRW_16S_B_P_146_nH.db",1502,463,Yes,215293
118,"CRW_16S_B_P_147_nH.db",1508,464,Yes,198610
119,"CRW_16S_B_P_148_nH.db",1501,462,Yes,233422
120,"CRW_16S_B_P_149_nH.db",1502,463,Yes,346276
121,"CRW_16S_B_P_150_nH.db",1499,462,Yes,237000
122,"CRW_16S_B_P_151_nH.db",1542,475,Yes,215156
123,"CRW_16S_B_P_153_nH.db",1538,466,Yes,189055
124,"CRW_16S_B_P_154_nH.db",1540,468,Yes,253510
125,"CRW_16S_B_P_18_nH.db",1488,456,Yes,200245
126,"CRW_16S_B_P_20_nH.db",1493,454,Yes,191935
127,"CRW_16S_B_P_21_nH.db",1522,469,Yes,203295
128,"CRW_16S_B_P_223_nH.db",1540,468,Yes,231058
129,"CRW_16S_B_P_224_nH.db",1542,470,Yes,205530
130,"CRW_16S_B_P_225_nH.db",1542,470,Yes,209746
131,"CRW_16S_B_P_226_nH.db",1542,470,Yes,232487
132,"CRW_16S_B_P_227_nH.db",1544,469,Yes,246127
133,"CRW_16S_B_P_228_nH.db",1546,480,Yes,247622
134,"CRW_16S_B_P_229_nH.db",1545,476,Yes,276581
135,"CRW_16S_B_P_230_nH.db",1546,469,Yes,196252
136,"CRW_16S_B_P_231_nH.db",1545,475,Yes,212168
137,"CRW_16S_B_P_232_nH.db",1542,470,Yes,188648
138,"CRW_16S_B_P_233_nH.db",1543,478,Yes,202608
139,"CRW_16S_B_P_23_nH.db",1532,473,Yes,201503
140,"CRW_16S_B_P_24_nH.db",1531,474,Yes,216959
141,"CRW_16S_B_P_25_nH.db",1531,474,Yes,240018
142,"CRW_16S_B_P_2_nH.db",1537,476,Yes,206305
143,"CRW_16S_B_P_30_nH.db",1490,457,Yes,196867
144,"CRW_16S_B_P_32_nH.db",1489,452,Yes,200111
145,"CRW_16S_B_P_33_nH.db",1533,473,Yes,226138
146,"CRW_16S_B_P_34_nH.db",1535,464,Yes,210688
147,"CRW_16S_B_P_35_nH.db",1515,469,Yes,200625
148,"CRW_16S_B_P_36_nH.db",1515,468,Yes,199546
149,"CRW_16S_B_P_37_nH.db",1744,467,Yes,211302
150,"CRW_16S_B_P_47_nH.db",1538,472,Yes,201414
151,"CRW_16S_B_P_48_nH.db",1542,477,Yes,223611
