Organism Name	Benchmark ID	Length	NumberOfWeakBonds	NumNucleotidiDisaccoppiati	IsPseudoknotted	RNAType	Genus	Core	Coreplus	Shape
Micrococcus luteus	CRW-16S_B_Ac_106	1524	468	2112	Yes	16S	--	--	--	--
Acidobacterium capsulatum	CRW-16S_B_Aci_1	1498	455	2086	Yes	16S	--	--	--	--
Mycobacterium avium	CRW-16S_B_Ac_108	1533	471	2124	Yes	16S	--	--	--	--
Acinetobacter calcoaceticus	CRW-16S_B_P_2	1537	476	2122	Yes	16S	--	--	--	--
Mycobacterium leprae	CRW-16S_B_Ac_109	1548	476	2144	Yes	16S	--	--	--	--
Actinomyces israelii	CRW-16S_B_Ac_3	1550	480	2140	Yes	16S	--	--	--	--
Arthrobacter globiformis	CRW-16S_B_Ac_10	1531	470	2122	Yes	16S	--	--	--	--
Aeromonas hydrophila	CRW-16S_B_P_4	1544	477	2134	Yes	16S	--	--	--	--
Mycobacterium leprae	CRW-16S_B_Ac_110	1550	478	2144	Yes	16S	--	--	--	--
Agrobacterium tumefaciens	CRW-16S_B_P_5	1489	452	2074	Yes	16S	--	--	--	--
Mycobacterium tuberculosis	CRW-16S_B_Ac_111	1532	471	2122	Yes	16S	--	--	--	--
Allochromatium vinosum	CRW-16S_B_P_6	1528	468	2120	Yes	16S	--	--	--	--
Mycobacterium tuberculosis	CRW-16S_B_Ac_112	1534	467	2134	Yes	16S	--	--	--	--
Anabaena sp.	CRW-16S_B_Cy_7	1489	456	2066	Yes	16S	--	--	--	--
Mycobacterium tuberculosis	CRW-16S_B_Ac_113	1537	469	2136	Yes	16S	--	--	--	--
Aquifex aeolicus	CRW-16S_B_Aq_8	1588	497	2182	Yes	16S	--	--	--	--
Mycobacterium tuberculosis	CRW-16S_B_Ac_114	1537	469	2136	Yes	16S	--	--	--	--
Aquifex pyrophilus	CRW-16S_B_Aq_9	1582	497	2170	Yes	16S	--	--	--	--
Nocardia asteroides	CRW-16S_B_Ac_126	1517	464	2106	Yes	16S	--	--	--	--
Rhodococcus erythropolis	CRW-16S_B_Ac_145	1519	466	2106	Yes	16S	--	--	--	--
Azorhizobium caulinodans	CRW-16S_B_P_11	1482	453	2058	Yes	16S	--	--	--	--
Streptomyces acidiscabies	CRW-16S_B_Ac_163	1530	468	2124	Yes	16S	--	--	--	--
Streptomyces albidoflavus	CRW-16S_B_Ac_164	1527	467	2120	Yes	16S	--	--	--	--
Bacillus cereus	CRW-16S_B_F_13	1551	484	2134	Yes	16S	--	--	--	--
Streptomyces albus	CRW-16S_B_Ac_165	1525	467	2116	Yes	16S	--	--	--	--
Bacillus halodurans	CRW-16S_B_F_14	1554	476	2156	Yes	16S	--	--	--	--
Streptomyces ambofaciens	CRW-16S_B_Ac_166	1529	469	2120	Yes	16S	--	--	--	--
Bacillus subtilis	CRW-16S_B_F_15	1552	478	2148	Yes	16S	--	--	--	--
Streptomyces bikiniensis	CRW-16S_B_Ac_167	1525	467	2116	Yes	16S	--	--	--	--
Bacillus subtilis A	CRW-16S_B_F_16	1553	476	2154	Yes	16S	--	--	--	--
Streptomyces bottropensis	CRW-16S_B_Ac_169	1531	468	2126	Yes	16S	--	--	--	--
Bacteroides fragilis	CRW-16S_B_Ba_17	1537	471	2132	Yes	16S	--	--	--	--
Streptomyces brasiliensis	CRW-16S_B_Ac_170	1522	464	2116	Yes	16S	--	--	--	--
Bartonella bacilliformis	CRW-16S_B_P_18	1488	456	2064	Yes	16S	--	--	--	--
